,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,160,238,160,237,2E,2L
1,238,313,237,313,3,2L
2,313,388,313,387,3,2L
3,388,457,387,448,3,2L
4,457,522,448,522,2L,2L
5,522,588,522,587,2L,2L
6,588,652,587,653,3,2L
7,652,717,653,715,3,2L
8,717,782,715,782,2E,2L
9,782,849,782,849,2L,2L
10,849,917,849,917,2E,2L
11,917,986,917,986,2E,2L
12,986,1057,986,1056,3,2L
13,1129,1204,1128,1203,2E,2L
14,1204,1279,1203,1276,3,2L
15,1279,1353,1276,1352,3,2L
16,1353,1425,1352,1424,3,2L
17,1425,1495,1424,1493,2L,2L
18,1495,1564,1493,1560,2L,2L
19,1564,1633,1560,1632,2L,2L
20,1633,1702,1632,1700,1L,2L
21,1702,1772,1700,1771,3,2L
22,1772,1839,1771,1839,2L,2L
23,1839,1908,1839,1907,3,2L
24,1908,1978,1907,1977,2E,2L
25,1978,2048,1977,2047,3,2L
26,2048,2121,2047,2119,3,2L
27,2121,2193,2119,2190,2E,2L
28,2193,2261,2190,2260,2L,2L
29,2261,2332,2260,2331,3,2L
30,2332,2403,2331,2402,3,2L
31,2403,2479,2402,2478,3,2L
32,2479,2552,2478,2550,2E,2L
33,2552,2622,2550,2622,2L,2L
34,2622,2692,2622,2691,2L,2L
35,2692,2761,2691,2760,2L,2L
36,2761,2830,2760,2828,1L,2L
37,2830,2899,2828,2899,2L,2L
38,2899,2966,2899,2966,3,2L
39,2966,3033,2966,3032,3,2L
40,3033,3099,3032,3098,2L,2L
41,3099,3166,3098,3165,3,2L
42,3166,3233,3165,3232,2L,2L
43,3233,3300,3232,3300,3,2L
44,3370,3442,3370,3434,3,2L
45,3942,4012,3956,4010,3,2L
46,4012,4079,4010,4102,3,2L
47,4079,4144,4102,4166,3,2L
48,4144,4209,4166,4210,3,2L
49,4275,4342,4271,4344,3,3
50,4342,4412,4344,4394,3,3
51,4412,4481,4394,4480,3,2L
52,4622,4694,4622,4696,3,2L
53,4694,4767,4696,4742,3,2L
54,4976,5046,4975,5048,3,2L
55,5246,5314,5218,5262,3,2L
