Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:29:57 Jan 08 2024,98,92,0,0,0
16:30:01 Jan 08 2024,98,92,23,0,0
16:30:05 Jan 08 2024,98,92,4,0,0
16:30:09 Jan 08 2024,98,92,2,0,0
16:30:13 Jan 08 2024,98,92,2,0,0
16:30:17 Jan 08 2024,98,92,5,0,0
16:30:21 Jan 08 2024,98,92,6,0,0
16:30:25 Jan 08 2024,98,92,3,0,0
16:30:29 Jan 08 2024,98,92,1,0,0
16:30:33 Jan 08 2024,98,93,1,0,0
16:30:37 Jan 08 2024,98,92,1,0,0
16:30:41 Jan 08 2024,99,91,1,0,0
16:30:45 Jan 08 2024,99,91,15,0,0
16:30:49 Jan 08 2024,99,91,1,0,0
16:30:53 Jan 08 2024,99,92,4,0,0
16:30:57 Jan 08 2024,99,92,0,0,0
16:31:01 Jan 08 2024,99,91,0,0,0
16:31:05 Jan 08 2024,99,91,1,0,0
16:31:09 Jan 08 2024,99,100,1,0,0
16:31:13 Jan 08 2024,99,100,4,0,0
16:31:17 Jan 08 2024,99,100,45,0,0
16:31:21 Jan 08 2024,99,100,0,0,0
16:31:25 Jan 08 2024,99,91,0,0,0
16:31:29 Jan 08 2024,99,97,0,0,0
16:31:33 Jan 08 2024,99,99,0,0,0
16:31:37 Jan 08 2024,99,94,0,0,0
16:31:41 Jan 08 2024,99,88,0,0,0
16:31:45 Jan 08 2024,99,85,1,0,0
16:31:49 Jan 08 2024,99,85,3,0,0
16:31:53 Jan 08 2024,99,87,1,0,0
16:31:57 Jan 08 2024,99,88,0,0,0
16:32:01 Jan 08 2024,98,85,0,0,0
16:32:05 Jan 08 2024,99,85,0,0,0
16:32:09 Jan 08 2024,99,82,0,0,0
16:32:13 Jan 08 2024,99,84,0,0,0
16:32:17 Jan 08 2024,99,84,0,0,0
16:32:21 Jan 08 2024,99,82,0,0,0
16:32:25 Jan 08 2024,99,82,0,0,0
16:32:29 Jan 08 2024,99,86,0,0,0
16:32:33 Jan 08 2024,99,87,0,0,0
16:32:37 Jan 08 2024,99,86,0,0,0
16:32:41 Jan 08 2024,99,85,0,0,0
16:32:45 Jan 08 2024,99,85,0,0,0
16:32:49 Jan 08 2024,99,87,0,0,0
16:32:53 Jan 08 2024,99,86,0,0,0
